age;FVC_males_Mspline;FVC_males_Sspline;FVC_males_Lspline;FVC_females_Mspline;FVC_females_Sspline;FVC_females_Lspline;FEV1_males_Mspline;FEV1_males_Sspline;FEV1_males_Lspline;FEV1_females_Mspline;FEV1_females_Sspline;FEV1_females_Lspline;FEV1FVC_males_Mspline;FEV1FVC_males_Sspline;FEV1FVC_males_Lspline;FEV1FVC_females_Mspline;FEV1FVC_females_Sspline;FEV1FVC_females_Lspline;PEF_males_Mspline;PEF_males_Sspline;PEF_males_Lspline;PEF_females_Mspline;PEF_females_Sspline;PEF_females_Lspline;MMEF_males_Mspline;MMEF_males_Sspline;MMEF_males_Lspline;MMEF_females_Mspline;MMEF_females_Sspline;MMEF_females_Lspline
10.0;-0.04;0.001;-0.135;-0.016;-0.027;0.0;-0.052;0.009;0.0;-0.023;-0.01;0.0;-0.007;-0.009;0.0;-0.004;-0.001;0.021;-0.031;-0.012;0.0;0.021;-0.04;0.0;-0.072;-0.005;0.0;-0.024;-0.003;0.0
10.2;-0.039;0.0;-0.152;-0.013;-0.032;0.0;-0.05;0.007;0.0;-0.018;-0.013;0.0;-0.006;-0.014;0.0;-0.003;-0.002;0.045;-0.029;-0.014;0.0;0.026;-0.044;0.0;-0.068;-0.009;0.0;-0.014;-0.009;0.0
10.4;-0.038;-0.001;-0.169;-0.01;-0.037;0.0;-0.048;0.006;0.0;-0.013;-0.015;0.0;-0.005;-0.019;0.0;-0.001;-0.003;0.068;-0.027;-0.016;0.0;0.031;-0.047;0.0;-0.062;-0.013;0.0;-0.004;-0.014;0.0
10.6;-0.037;-0.002;-0.185;-0.007;-0.042;0.0;-0.046;0.005;0.0;-0.007;-0.018;0.0;-0.004;-0.024;0.0;0.002;-0.004;0.09;-0.024;-0.017;0.0;0.036;-0.051;0.0;-0.056;-0.017;0.0;0.007;-0.019;0.0
10.8;-0.036;-0.003;-0.2;-0.004;-0.046;0.0;-0.043;0.004;0.0;-0.001;-0.02;0.0;-0.003;-0.029;0.0;0.004;-0.005;0.112;-0.022;-0.019;0.0;0.042;-0.054;0.0;-0.05;-0.021;0.0;0.017;-0.024;0.0
11.0;-0.034;-0.004;-0.215;0.0;-0.05;0.0;-0.039;0.003;0.0;0.005;-0.022;0.0;-0.002;-0.033;0.0;0.006;-0.005;0.132;-0.019;-0.02;0.0;0.047;-0.057;0.0;-0.042;-0.025;0.0;0.028;-0.029;0.0
11.2;-0.031;-0.005;-0.228;0.003;-0.054;0.0;-0.035;0.002;0.0;0.012;-0.025;0.0;0.0;-0.038;0.0;0.008;-0.006;0.153;-0.016;-0.022;0.0;0.052;-0.059;0.0;-0.034;-0.028;0.0;0.039;-0.034;0.0
11.4;-0.029;-0.006;-0.242;0.007;-0.058;0.0;-0.031;0.0;0.0;0.019;-0.027;0.0;0.001;-0.042;0.0;0.01;-0.007;0.172;-0.012;-0.023;0.0;0.057;-0.062;0.0;-0.026;-0.032;0.0;0.05;-0.038;0.0
11.6;-0.026;-0.006;-0.254;0.011;-0.062;0.0;-0.025;-0.001;0.0;0.026;-0.029;0.0;0.002;-0.045;0.0;0.012;-0.007;0.191;-0.009;-0.025;0.0;0.062;-0.064;0.0;-0.017;-0.035;0.0;0.06;-0.043;0.0
11.8;-0.023;-0.007;-0.266;0.015;-0.065;0.0;-0.02;-0.002;0.0;0.033;-0.031;0.0;0.003;-0.049;0.0;0.014;-0.008;0.209;-0.005;-0.026;0.0;0.067;-0.066;0.0;-0.008;-0.039;0.0;0.071;-0.047;0.0
12.0;-0.019;-0.008;-0.278;0.02;-0.069;0.0;-0.013;-0.003;0.0;0.041;-0.033;0.0;0.004;-0.052;0.0;0.016;-0.009;0.226;-0.001;-0.027;0.0;0.071;-0.068;0.0;0.001;-0.042;0.0;0.081;-0.051;0.0
