"","agebound","Lspline","Mspline","Sspline","gender","f"
"184",42,NA,0.0154142363201348,-0.0290777977339505,1,"FVC"
"185",43,NA,0.0165000880047472,-0.029318331091722,1,"FVC"
"186",44,NA,0.0175955011838997,-0.0292252348196813,1,"FVC"
"187",45,NA,0.0185478245990414,-0.0288064942250239,1,"FVC"
"188",46,NA,0.0192309265720105,-0.0280989933316214,1,"FVC"
"189",47,NA,0.0195363751225255,-0.027140699032858,1,"FVC"
"190",48,NA,0.0193701961242674,-0.0259657194932035,1,"FVC"
"191",49,NA,0.0186803855944753,-0.0246046626914866,1,"FVC"
"192",50,NA,0.0175062713793945,-0.0230848946298337,1,"FVC"
"193",51,NA,0.0158988732173881,-0.0214310402216964,1,"FVC"
"194",52,NA,0.0139045935722883,-0.019665304641963,1,"FVC"
"195",53,NA,0.011575496933089,-0.0178061971721837,1,"FVC"
"196",54,NA,0.00905401577131393,-0.0158556449342995,1,"FVC"
"197",55,NA,0.00652100047368442,-0.0138073239806804,1,"FVC"
"198",56,NA,0.00413893472831006,-0.011655713972675,1,"FVC"
"199",57,NA,0.00205318674119681,-0.00939610379516642,1,"FVC"
"200",58,NA,0.000367538706282033,-0.00702350092509096,1,"FVC"
"201",59,NA,-0.000957777741406929,-0.00452859758099233,1,"FVC"
"202",60,NA,-0.00200103004167573,-0.00190166141207415,1,"FVC"
"203",61,NA,-0.00283346972716103,0.000865834959108192,1,"FVC"
"204",62,NA,-0.00351995204928812,0.00378133512310752,1,"FVC"
"205",63,NA,-0.00412320976792913,0.0068505266476997,1,"FVC"
"206",64,NA,-0.00474061196129405,0.010069778352908,1,"FVC"
"207",65,NA,-0.00548528648915614,0.013430317484084,1,"FVC"
"208",66,NA,-0.00646039399690501,0.0169238359601462,1,"FVC"
"209",67,NA,-0.00775962892616633,0.0205425359950069,1,"FVC"
"210",68,NA,-0.00946804003079293,0.024279093404465,1,"FVC"
"211",69,NA,-0.0116525359168236,0.0281246496802692,1,"FVC"
"212",70,NA,-0.0143287406912744,0.0320622594800226,1,"FVC"
"213",71,NA,-0.0174979490714318,0.0360738706249957,1,"FVC"
"214",72,NA,-0.0211606655027055,0.0401428015492504,1,"FVC"
"215",73,NA,-0.0253166870845192,0.0442536355725571,1,"FVC"
"216",74,NA,-0.0299651778143204,0.0483921240856833,1,"FVC"
"217",75,NA,-0.0351009864106846,0.0525453023952349,1,"FVC"
"218",76,NA,-0.0406835258263669,0.0567031091149293,1,"FVC"
"219",77,NA,-0.046655555414544,0.0608572902509876,1,"FVC"
"220",78,NA,-0.0529635104593584,0.0650002247068411,1,"FVC"
"221",79,NA,-0.0595574477555498,0.0691248668190108,1,"FVC"
"222",80,NA,-0.066390792598348,0.0732247045395589,1,"FVC"
"223",81,NA,-0.0734201054152663,0.0772937209309359,1,"FVC"
"224",82,NA,-0.080605900858215,0.0813269296999417,1,"FVC"
"225",83,NA,-0.0879166903304789,0.0853226836522301,1,"FVC"
"226",84,NA,-0.0953247935114376,0.0892804341944666,1,"FVC"
"227",85,NA,-0.10280435390386,0.0931997020945741,1,"FVC"
"228",86,NA,-0.110331217188957,0.0970800716000211,1,"FVC"
"229",87,NA,-0.117882819448058,0.100921185559125,1,"FVC"
"230",88,NA,-0.125438083466806,0.104722740920852,1,"FVC"
"231",89,NA,-0.132977513978409,0.108484497672436,1,"FVC"
"232",90,NA,-0.140487886438283,0.112206601637757,1,"FVC"
"233",91,NA,-0.14796213829865,0.11588957918396,1,"FVC"
"234",92,NA,-0.155393940838032,0.119533968165122,1,"FVC"
"235",93,NA,-0.162777394363824,0.123140298979617,1,"FVC"
"236",94,NA,-0.170107001216145,0.126709094501262,1,"FVC"
"237",95,NA,-0.177377640616186,0.130240870035224,1,"FVC"
"238",17,NA,-0.143369890697072,-0.0145414462024469,2,"FVC"
"239",18,NA,-0.122189617928548,-0.00570149987428525,2,"FVC"
"240",19,NA,-0.101696090008886,0.0040381320330245,2,"FVC"
"241",20,NA,-0.0817081966100002,0.0158156820926667,2,"FVC"
"242",21,NA,-0.0624244954611619,0.0301022871000782,2,"FVC"
"243",22,NA,-0.0447425941361193,0.045864173167899,2,"FVC"
"244",23,NA,-0.0297944119889948,0.0615779281662996,2,"FVC"
"245",24,NA,-0.0189241341147444,0.0753308859427158,2,"FVC"
"246",25,NA,-0.0124002483425887,0.0859913972898525,2,"FVC"
"247",26,NA,-0.00934684124215757,0.0932317233846045,2,"FVC"
"248",27,NA,-0.00882379295600799,0.0969720874650442,2,"FVC"
"249",28,NA,-0.00978094507046912,0.0973928443246828,2,"FVC"
"250",29,NA,-0.0112936880401051,0.0947370351010921,2,"FVC"
"251",30,NA,-0.0124107846421939,0.0894649161061691,2,"FVC"
"252",31,NA,-0.0123039499197031,0.0820511725112612,2,"FVC"
"253",32,NA,-0.0107789568407259,0.072955852877961,2,"FVC"
"254",33,NA,-0.00837284683474415,0.0626505363348944,2,"FVC"
"255",34,NA,-0.00558481774812236,0.0515456949372308,2,"FVC"
"256",35,NA,-0.00272902041740153,0.0400755683059324,2,"FVC"
"257",36,NA,1.4937000180737e-05,0.0286766237905742,2,"FVC"
"258",37,NA,0.0025102301048836,0.0177167130356506,2,"FVC"
"259",38,NA,0.00485360081748176,0.00747241322930758,2,"FVC"
"260",39,NA,0.00731149031583556,-0.00185279297088137,2,"FVC"
"261",40,NA,0.0101157895258641,-0.0100903075043064,2,"FVC"
"262",41,NA,0.0132802820683882,-0.0171263448521448,2,"FVC"
"263",42,NA,0.016460261482143,-0.0229185439697752,2,"FVC"
