,agebound,Mspline,Sspline,Lspline,gender,f
194,44,0.03262904,-0.08573532,,1,FVC
195,44,0.0318887,-0.07937766,,2,FVC
196,45,0.03190979,-0.08731357,,1,FVC
197,45,0.03213652,-0.08394492,,2,FVC
198,46,0.03102123,-0.0877734,,1,FVC
199,46,0.03216679,-0.08667298,,2,FVC
200,47,0.0300081,-0.08710859,,1,FVC
201,47,0.03196289,-0.08763049,,2,FVC
202,48,0.02890006,-0.08531856,,1,FVC
203,48,0.03150195,-0.08689785,,2,FVC
204,49,0.02772344,-0.08240628,,1,FVC
205,49,0.03076677,-0.08455548,,2,FVC
206,50,0.02649054,-0.0784053,,1,FVC
207,50,0.02978288,-0.08076567,,2,FVC
208,51,0.02518934,-0.07340582,,1,FVC
209,51,0.02860862,-0.07575218,,2,FVC
210,52,0.02380645,-0.06749768,,1,FVC
211,52,0.02729747,-0.06971937,,2,FVC
212,53,0.02233018,-0.06076316,,1,FVC
213,53,0.02589376,-0.06285184,,2,FVC
214,54,0.02074273,-0.05329063,,1,FVC
215,54,0.02436983,-0.05532108,,2,FVC
216,55,0.01900982,-0.04519265,,1,FVC
217,55,0.02264186,-0.04728625,,2,FVC
218,56,0.01709832,-0.03657622,,1,FVC
219,56,0.02063322,-0.03889109,,2,FVC
220,57,0.01497893,-0.02753843,,1,FVC
221,57,0.01827592,-0.03026522,,2,FVC
222,58,0.01262549,-0.01816861,,1,FVC
223,58,0.01552806,-0.02150367,,2,FVC
224,59,0.01001246,-0.00855704,,1,FVC
225,59,0.01239201,-0.01264552,,2,FVC
226,60,0.00711622,0.00120993,,1,FVC
227,60,0.00887575,-0.00372017,,2,FVC
228,61,0.00391592,0.01105391,,1,FVC
229,61,0.00498726,0.00524564,,2,FVC
230,62,0.00039331,0.02090377,,1,FVC
231,62,0.00073587,0.01422761,,2,FVC
232,63,-0.00346239,0.03070406,,1,FVC
233,63,-0.00383967,0.02320352,,2,FVC
234,64,-0.00764028,0.04043941,,1,FVC
235,64,-0.00867601,0.0321531,,2,FVC
236,65,-0.01212506,0.05010439,,1,FVC
237,65,-0.01371405,0.04105789,,2,FVC
238,66,-0.01690227,0.05969415,,1,FVC
239,66,-0.01889962,0.04990117,,2,FVC
240,67,-0.02195822,0.06920433,,1,FVC
241,67,-0.02418347,0.0586677,,2,FVC
242,68,-0.02727753,0.07863252,,1,FVC
243,68,-0.02953268,0.06734304,,2,FVC
244,69,-0.03283019,0.08798561,,1,FVC
245,69,-0.03493092,0.07591337,,2,FVC
246,70,-0.03858244,0.09727349,,1,FVC
247,70,-0.04036389,0.08436614,,2,FVC
248,71,-0.04450303,0.1065053,,1,FVC
249,71,-0.04581845,0.09268998,,2,FVC
250,72,-0.05056302,0.11568946,,1,FVC
251,72,-0.05128247,0.10087458,,2,FVC
252,73,-0.05673559,0.12483375,,1,FVC
253,73,-0.05674453,0.10891179,,2,FVC
254,74,-0.06299483,0.13394427,,1,FVC
255,74,-0.06219299,0.11679942,,2,FVC
256,75,-0.06931476,0.14302467,,1,FVC
257,75,-0.06761678,0.12453708,,2,FVC
