age;Mspline
61;-0.0512728702793734
61.25;-0.0522281663723234
61.5;-0.0531801855021521
61.75;-0.0541287923846956
62;-0.0550738523958083
62.25;-0.0560152595160046
62.5;-0.0569529344332969
62.75;-0.0578867989474126
63;-0.0588167748701678
63.25;-0.0597427840170086
63.5;-0.0606647482016398
63.75;-0.0615825892364925
64;-0.0624962289339965
64.25;-0.063405589106643
64.5;-0.0643105915671685
64.75;-0.0652111581287262
65;-0.0661072106039451
65.25;-0.0669986708247245
65.5;-0.0678854605465906
65.75;-0.068767502259949
66;-0.0696447161142912
66.25;-0.0705170876202335
66.5;-0.0713846894303853
66.75;-0.0722476007105879
67;-0.073105903102872
67.25;-0.0739596775457634
67.5;-0.074809004887527
67.75;-0.0756539659968514
68;-0.0764946417442744
68.25;-0.0773311129997629
68.5;-0.078163460633216
68.75;-0.0789917655149597
69;-0.0798161085145956
69.25;-0.0806365704944976
69.5;-0.0814532323483661
69.75;-0.0822661750192366
70;-0.0830754787660988
70.25;-0.0838812311318549
70.5;-0.0846835289654879
70.75;-0.0854824737110289
71;-0.0862781660936323
71.25;-0.0870707065585519
71.5;-0.0878601957533314
71.75;-0.088646734301999
72;-0.0894304228266862
72.25;-0.0902113619490872
72.5;-0.0909896522914884
72.75;-0.0917653944762948
73;-0.0925386891252815
73.25;-0.0933096368606496
73.5;-0.0940783383045436
73.75;-0.0948448940814353
74;-0.0956094048071043
74.25;-0.096371968768544
74.5;-0.0971326742237184
74.75;-0.0978916068972664
75;-0.0986488524816829
75.25;-0.0994044966512417
75.5;-0.100158625100986
75.75;-0.100911323511718
76;-0.101662677556924
76.25;-0.102412772953461
76.5;-0.10316169538539
76.75;-0.1039095302419
77;-0.10465636405872
77.25;-0.105402279041522
77.5;-0.106147378631609
77.75;-0.106891763733239
78;-0.107635488117214
78.25;-0.108378602330363
78.5;-0.109121156919516
78.75;-0.109863202431504
79;-0.110604789413157
79.25;-0.111345967234301
79.5;-0.112086767653293
79.75;-0.112827208948383
80;-0.113567321594579
