age;Mspline;Sspline
48.5;-0.00859875917421493;0.0541571025740919
48.75;-0.00793320691523447;0.0562299901558299
49;-0.00726008040590354;0.0583053538791227
49.25;-0.00657917994721369;0.0603826434445214
49.5;-0.00589030584200456;0.0624613085490715
49.75;-0.00519325777219137;0.064540799934786
50;-0.00448790479193462;0.0666204515993032
50.25;-0.00377434095681894;0.0686992188861613
50.5;-0.0030527141679384;0.0707759665250496
50.75;-0.00232317143696181;0.0728495607418131
51;-0.00158585976026049;0.0749188677873049
51.25;-0.000840926139503262;0.0769827539046406
51.5;-8.85175759763879e-05;0.0790400853362923
51.75;0.000671218929309658;0.0810897283266496
52;0.00143813637519008;0.0831305491189909
52.25;0.00221208776052784;0.0851614139565506
52.5;0.00299292608403756;0.0871811890820062
52.75;0.00378050434407773;0.0891887407376171
53;0.0045746755415994;0.0911829351738893
53.25;0.00537529292183314;0.0931626394938574
53.5;0.00618220923219637;0.0951267190637881
53.75;0.00699527691296509;0.0970740381772544
54;0.00781434179952578;0.0990034380742948
54.25;0.00863920217225722;0.100913594010043
54.5;0.00946963881894036;0.102803120183425
54.75;0.0103054326425542;0.104670631195806
55;0.0111463645817604;0.106514741772527
55.25;0.0119922155561982;0.108334066573383
55.5;0.0128427664896908;0.110127220272261
55.75;0.0136977983058792;0.111892817541972
56;0.0145570919285822;0.113629473056746
56.25;0.0154204282816079;0.115335801490483
56.5;0.0162875882885132;0.117010417516046
56.75;0.0171583529142854;0.11865193601791
57;0.0180325029594863;0.120258971039823
57.25;0.0189098180975498;0.121830130862124
57.5;0.019790069185275;0.123363978685911
57.75;0.0206730566144382;0.12485922872645
58;0.0215585857352063;0.126314620551504
58.25;0.0224464984931685;0.127729080844211
58.5;0.0233367579571857;0.129102155600628
58.75;0.0242293070004873;0.130433287554484
59;0.0251240879585608;0.131721916690917
59.25;0.0260210449158595;0.132967491937323
59.5;0.0269201212040779;0.134169458371257
59.75;0.0278212601981196;0.135327261293056
60;0.0287244052864155;0.136440346070641
60.25;0.0296294998505464;0.137508158035127
60.5;0.0305364872756062;0.138530142548901
60.75;0.0314453109384356;0.139505744894221
61;0.0323559142307914;0.140434410493589
61.25;0.0332682404191798;0.141315583598583
61.5;0.0341822329295927;0.142148709952553
61.75;0.0350978358125018;0.142933241135376
62;0.0360149949979716;0.143668646298113
62.25;0.0369337378576251;0.14435515592933
62.5;0.0378541678021358;0.14499371134993
62.75;0.038776391408613;0.145585283482708
63;0.0397005152864871;0.146130843550805
63.25;0.0406266460570972;0.146631362889902
63.5;0.0415548903364782;0.147087812785851
63.75;0.0424853547368724;0.147501164488932
64;0.0434181458705218;0.147872389249429
64.25;0.0443533703499355;0.148202458320209
64.5;0.0452911347886897;0.148492342964485
64.75;0.0462315458007223;0.148743014448086
65;0.04717470999913;0.14895544402922
65.25;0.04812073399287;0.149130602973148
65.5;0.0490697244081209;0.14926946252408
65.75;0.0500217877035856;0.149372994117656
66;0.0509770308722259;0.149442168584412
66.25;0.0519355459787201;0.149477973587903
66.5;0.0528974051844533;0.149481419232371
66.75;0.0538626791631018;0.149453517298852
67;0.0548314380225936;0.149395280204993
67.25;0.0558037520319281;0.149307720189653
67.5;0.0567796914804148;0.149191849466328
67.75;0.0577593266526666;0.149048680253982
68;0.058742727833246;0.148879224774057
68.25;0.0597299653065058;0.148684495245651
68.5;0.0607211093567157;0.14846550388777
68.75;0.0617162302685648;0.14822326292243
69;0.0627153983263862;0.147958784567403
69.25;0.0637186838935746;0.147673081225803
69.5;0.0647261570176692;0.147367164571129
69.75;0.0657378872754164;0.147042045199019
70;0.0667539509129162;0.146698749026121
70.25;0.0677743530768513;0.146338138609495
70.5;0.0687990080717071;0.145960867783456
70.75;0.0698277853444869;0.145567487315081
71;0.0708605613609836;0.145158564099575
71.25;0.0718972153187962;0.144734671306979
71.5;0.0729376244398585;0.144296377569319
71.75;0.0739816661791022;0.143844252053966
72;0.0750292180065415;0.143378863962353
72.25;0.0760801573965377;0.14290078250573
72.5;0.0771343618198495;0.142410576887644
72.75;0.078191708747549;0.141908816313634
73;0.0792520756502628;0.141396069983285
73.25;0.0803153399988452;0.140872907106442
73.5;0.0813813792643316;0.140339896878554
73.75;0.0824500709184455;0.139797608567126
74;0.0835212924298441;0.139246611202358
74.25;0.0845949204982233;0.138687407811248
74.5;0.0856708285110255;0.138120217231344
74.75;0.0867488890189541;0.137545186515961
75;0.0878289745615648;0.136962461804465
75.25;0.0889109576737919;0.136372188733588
75.5;0.0899947108855434;0.135774513362915
75.75;0.0910801067477871;0.135169581705175
76;0.0921670178275278;0.134557539810735
76.25;0.093255316604183;0.133938533583309
76.5;0.0943448756230394;0.133312709032469
76.75;0.0954355680237413;0.132680213149376
77;0.0965272646348925;0.132041189114173
77.25;0.0976198450108063;0.13139579449103
77.5;0.0987131459184325;0.130744116319811
77.75;0.0998070092304135;0.130086250014694
78;0.10090137178492;0.129422447471805
78.25;0.101996176915863;0.128752971290885
78.5;0.103091367957157;0.128078084071678
78.75;0.104186888242714;0.127398048413924
79;0.105282681106444;0.126713126917366
79.25;0.106378692242379;0.126023585969228
79.5;0.107474902658887;0.125329748628694
79.75;0.108571320420796;0.124631981611112
80;0.109667932656259;0.123930649685771
