age;height;FEV1_females_pv;FEV1_females_p5;FEV1_females_lln;FVC_females_pv;FVC_females_p5;FVC_females_lln;FEV1FVC_females_pv;FEV1FVC_females_p5;FEV1FVC_females_lln;FEV1_males_pv;FEV1_males_p5;FEV1_males_lln;FVC_males_pv;FVC_males_p5;FVC_males_lln;FEV1FVC_males_pv;FEV1FVC_males_p5;FEV1FVC_males_lln
20;174;2.84909373054708;2.28543236469927;2.19490583401704;3.30561486463559;2.66151743969226;2.55141799128992;0.863239789809992;0.763705859225327;0.744637796301783;3.42325876695136;2.74234824977263;2.61190384241726;4.00258921701568;3.22391069954864;3.074736534708;0.868363563587148;0.770699973886013;0.751990218701811
20;175;2.87913039920971;2.30677413324064;2.21492723936112;3.34068340930451;2.68975289573994;2.57848542638464;0.863239789809992;0.763705859225327;0.744637796301783;3.44311156381978;2.76220104664105;2.63175663928568;4.02770905288996;3.24903053542292;3.09985637058227;0.868363563587148;0.770699973886013;0.751990218701811
20;176;2.90948373048499;2.32829989724423;2.23512951582729;3.37612398848912;2.71828789556153;2.6058400139746;0.863239789809992;0.763705859225327;0.744637796301783;3.46296436068819;2.78205384350946;2.65160943615409;4.05282888876423;3.27415037129719;3.12497620645655;0.868363563587148;0.770699973886013;0.751990218701811
20;177;2.94015706279938;2.35001100128124;2.25548431915081;3.41194054902217;2.74712561695137;2.63348480039778;0.863239789809992;0.763705859225327;0.744637796301783;3.4828171575566;2.80190664037787;2.6714622330225;4.07794872463851;3.29927020717147;3.15009604233083;0.868363563587148;0.770699973886013;0.751990218701811
20;178;2.97115376977485;2.37190879607439;2.27605205363364;3.44813707960749;2.77626927141634;2.66142286431009;0.863239789809992;0.763705859225327;0.744637796301783;3.50266995442502;2.82175943724629;2.69131502989092;4.10306856051278;3.32439004304574;3.1752158782051;0.868363563587148;0.770699973886013;0.751990218701811
20;179;3.00247726059989;2.39399463847486;2.29674322751335;3.48471761126423;2.80572210453348;2.68965731702824;0.863239789809992;0.763705859225327;0.744637796301783;3.52252275129343;2.8416122341147;2.71116782675933;4.12818839638706;3.34950987892002;3.20033571407937;0.868363563587148;0.770699973886013;0.751990218701811
20;180;3.03413098040448;2.41626989143665;2.31761335302089;3.52168621777571;2.83548739631143;2.71819130287619;0.863239789809992;0.763705859225327;0.744637796301783;3.54237554816185;2.86146503098311;2.73102062362775;4.15330823226133;3.37462971479429;3.22545554995365;0.868363563587148;0.770699973886013;0.751990218701811
20;181;3.06611841063899;2.43873592398862;2.33865869192683;3.55904701614313;2.86556846155576;2.74702799953538;0.863239789809992;0.763705859225327;0.744637796301783;3.56222834503026;2.88131782785153;2.75087342049616;4.17842806813561;3.39974955066857;3.25057538582792;0.868363563587148;0.770699973886013;0.751990218701811
20;182;3.09844306945712;2.46139471454749;2.35987095428584;3.59680416704407;2.89596865023806;2.77617061839855;0.863239789809992;0.763705859225327;0.744637796301783;3.58208114189867;2.90117062471994;2.77072621736457;4.20354790400988;3.42486938654284;3.2756952217022;0.868363563587148;0.770699973886013;0.751990218701811
20;183;3.13110851210279;2.48424706188565;2.38126751156789;3.6349618752958;2.92669134786904;2.8056224049274;0.863239789809992;0.763705859225327;0.744637796301783;3.60193393876709;2.92102342158836;2.79057901423299;4.22866773988416;3.44998922241712;3.30081505757647;0.868363563587148;0.770699973886013;0.751990218701811
20;184;3.16411833130124;2.50729399822809;2.40282153767967;3.67352439032361;2.95773997587556;2.83538663901406;0.863239789809992;0.763705859225327;0.744637796301783;3.6217867356355;2.94087621845677;2.8104318111014;4.25378757575843;3.47510905829139;3.32593489345075;0.868363563587148;0.770699973886013;0.751990218701811
20;185;3.19747615765413;2.5305370333722;2.42459293817345;3.71249600663398;2.98911799198165;2.86546663534627;0.863239789809992;0.763705859225327;0.744637796301783;3.64163953250392;2.96072901532518;2.83028460796981;4.27890741163271;3.50022889416567;3.35105472932502;0.868363563587148;0.770699973886013;0.751990218701811
21;137;1.91990731932434;1.59853974513054;1.54532057205889;2.22796026471692;1.79078588614531;1.7161248699318;0.861107943329309;0.761574012744643;0.742505949821099;2.66700994581972;1.98609942864098;1.85565502128561;3.05668884092721;2.27801032346017;2.12883615861952;0.865668868504337;0.768005278803202;0.749295523619
21;138;1.9401480082828;1.61379755514699;1.55979616669075;2.25159620757877;1.8097839417;1.73433086310496;0.861107943329309;0.761574012744643;0.742505949821099;2.68686274268813;2.0059522255094;1.87550781815403;3.08180867680148;2.30313015933444;2.1539559944938;0.865668868504337;0.768005278803202;0.749295523619
21;139;1.96060208540089;1.62919217721535;1.57439743486228;2.27548289898574;1.82898354346837;1.75272999967533;0.861107943329309;0.761574012744643;0.742505949821099;2.70671553955654;2.02580502237781;1.89536061502244;3.10692851267576;2.32824999520872;2.17907583036807;0.865668868504337;0.768005278803202;0.749295523619
21;140;1.98127180033061;1.64472469726232;1.58912531266255;2.29962299907428;1.84838682961009;1.77132432865895;0.861107943329309;0.761574012744643;0.742505949821099;2.72656833642496;2.04565781924623;1.91521341189086;3.13204834855003;2.35336983108299;2.20419566624235;0.865668868504337;0.768005278803202;0.749295523619
21;141;2.00215942644102;1.66039620742325;1.6039807406986;2.32401919620162;1.8679959609681;1.79011592080941;0.861107943329309;0.761574012744643;0.742505949821099;2.74642113329337;2.06551061611464;1.93506620875927;3.15716818442431;2.37848966695727;2.22931550211662;0.865668868504337;0.768005278803202;0.749295523619
21;142;2.02326726106822;1.67619050781203;1.61896466409105;2.34867420724521;1.88781312130925;1.80910686884848;0.861107943329309;0.761574012744643;0.742505949821099;2.76627393016178;2.08536341298305;1.95491900562768;3.18228802029858;2.40360950283154;2.2544353379909;0.865668868504337;0.768005278803202;0.749295523619
